sentiment,text,original_text,cleaned_text,korean_translation
1,@TheDailyBlonde sometimes ,@TheDailyBlonde sometimes ,sometimes,때때로
1,Hey! How are you? I thought you'd like some Maestro Knows-Tour Edition  http://www.vimeo.com/4966590 Enjoy!,Hey! How are you? I thought you'd like some Maestro Knows-Tour Edition  http://www.vimeo.com/4966590 Enjoy!,Hey How are you I thought you d like some Maestro Knows Tour Edition Enjoy,헤이 어떻게 당신은 당신이 D처럼 당신이 Do Tour Edition을 알고 있다고 생각했다고 생각 했습니까?
1,@ReginaPearl morning! And me &amp; you don't do anything but tweet! ,@ReginaPearl morning! And me &amp; you don't do anything but tweet! ,morning And me amp you don t do anything but tweet,아침과 나 ​​앰프 당신은 트윗을하는 것 외에는 아무것도하지 않습니다
0,@Trobo1 I wish I'd been at the game. ,@Trobo1 I wish I'd been at the game. ,I wish I d been at the game,나는 게임에 있었으면 좋겠다
0,u shud watch it .... i almost cried  ,u shud watch it .... i almost cried  ,u shud watch it i almost cried,당신은 그것을 거의 울었습니다
1,@cali_g510 ok   I got you!,@cali_g510 ok   I got you!,ok I got you,알았어
1,more storms! ,more storms! ,more storms,더 많은 폭풍
1,@LFTA ...And Prince - Erotic City (Feat. Shelia E) ,@LFTA ...And Prince - Erotic City (Feat. Shelia E) ,And Prince Erotic City Feat Shelia E,그리고 프린스 에로틱 도시 위업 Shelia e
1,@HarlieRae welcs  and I'm happy you will have a new profile picture,@HarlieRae welcs  and I'm happy you will have a new profile picture,welcs and I m happy you will have a new profile picture,Welcs와 나는 당신이 새로운 프로필 사진을 가질 것입니다.
0,@shawnee_dj yeh  bad times ,@shawnee_dj yeh  bad times ,yeh bad times,"예, 나쁜시기"
1,"@RugbyDog Yes, I did get the reply. I didn't know there was one, either, but I thought I'd ask Give you something to do on the weekend. ","@RugbyDog Yes, I did get the reply. I didn't know there was one, either, but I thought I'd ask Give you something to do on the weekend. ",Yes I did get the reply I didn t know there was one either but I thought I d ask Give you something to do on the weekend,"네, 답장을 받았습니다."
0,@Kami88 yea man that's when Bad Boy actually had talented artists ,@Kami88 yea man that's when Bad Boy actually had talented artists ,yea man that s when Bad Boy actually had talented artists,"예, 나쁜 소년이 실제로 재능있는 예술가를 가졌을 때"
0,at the airport. hungry. ,at the airport. hungry. ,at the airport hungry,공항에서 배고프다
1,@nicolex33 thanks my little sparrow ,@nicolex33 thanks my little sparrow ,thanks my little sparrow,내 작은 참새 감사합니다
1,@roninotter Happy Birthday!  ,@roninotter Happy Birthday!  ,Happy Birthday,생일 축하해요
1,making a pirates club ,making a pirates club ,making a pirates club,해적 클럽 만들기
0,IT'S MY B'DAY 2DAY!!!!!!!!!!!!!!!!!!!! 26 YRS OLD ,IT'S MY B'DAY 2DAY!!!!!!!!!!!!!!!!!!!! 26 YRS OLD ,IT S MY B DAY 2DAY 26 YRS OLD,그것은 내 B 일 2 일 2 일 26 세입니다
1,@Burlesquetron oh sorry I didn't see this tweet further down sorry. unhappy DD = 4 champers 4 me + looking 4 hair dye in back of cupboard ,@Burlesquetron oh sorry I didn't see this tweet further down sorry. unhappy DD = 4 champers 4 me + looking 4 hair dye in back of cupboard ,oh sorry I didn t see this tweet further down sorry unhappy DD 4 champers 4 me looking 4 hair dye in back of cupboard,오 미안 해요 미안 해요 미안해 불행한 DD 4 Champers 4 Me Cupboard에 4 개의 머리 염료를 찾고 있습니다.
1,@laurie_pringle I mention it in the blog post. It's in Vancouver. ,@laurie_pringle I mention it in the blog post. It's in Vancouver. ,I mention it in the blog post It s in Vancouver,블로그 게시물에서 밴쿠버에서 언급했습니다.
1,I am soooo happy!!! ,I am soooo happy!!! ,I am soooo happy,나는 행복하다
1,@Itxi_Itx @th3maw  This is a great conversation.  What else might you do with your sheets during the act of love?  eh?  eh?  ,@Itxi_Itx @th3maw  This is a great conversation.  What else might you do with your sheets during the act of love?  eh?  eh?  ,This is a great conversation What else might you do with your sheets during the act of love eh eh,이것은 사랑의 행동 중에 당신의 시트로 무엇을 할 수 있는지에 대한 훌륭한 대화입니다.
0,feeling like an old lady..suffering lower back pains uhggggg. i guess it's PJ'S &amp; PILLOW TIME for me ,feeling like an old lady..suffering lower back pains uhggggg. i guess it's PJ'S &amp; PILLOW TIME for me ,feeling like an old lady suffering lower back pains uhggggg i guess it s PJ S amp PILLOW TIME for me,낮은 요통 고통을 겪고있는 노부인 같은 느낌 uhggggg 나는 그것이 나를위한 pj s amp 베개 시간 인 것 같아
1,life and its webs it weaves... glad we're brought closer during the simplest of things...  fam,life and its webs it weaves... glad we're brought closer during the simplest of things...  fam,life and its webs it weaves glad we re brought closer during the simplest of things fam,생명과 웹은 우리가 가장 간단한 것들 중에 더 가까이 가져 왔습니다.
1,had a lovely birthday.  http://plurk.com/p/xedq0,had a lovely birthday.  http://plurk.com/p/xedq0,had a lovely birthday,사랑스러운 생일을 보냈습니다
0,@salioelsol08 ew. ,@salioelsol08 ew. ,ew,ew
1,@LexiePixie Cool! Have a super day ,@LexiePixie Cool! Have a super day ,Cool Have a super day,시원한 날 보내세요
1,@markowen Always a pleasure Mark ,@markowen Always a pleasure Mark ,Always a pleasure Mark,항상 즐거움 마크
0,http://twitpic.com/87lpp - it was beautiful once ,http://twitpic.com/87lpp - it was beautiful once ,it was beautiful once,한 번은 아름다웠습니다
1,&lt;/cluster emoting&gt; Thanks for humoring me. ,&lt;/cluster emoting&gt; Thanks for humoring me. ,lt cluster emoting gt Thanks for humoring me,LT 클러스터 감정 GT 저를 유머 감사합니다
0,This is going to be the week from hell...I have so so so much to do! ,This is going to be the week from hell...I have so so so much to do! ,This is going to be the week from hell I have so so so much to do,이것은 내가 너무 많은 일을 할 수있는 지옥에서 일주일이 될 것입니다.
0,@radqueen I WANT TO SEE PICTURES. ,@radqueen I WANT TO SEE PICTURES. ,I WANT TO SEE PICTURES,사진을보고 싶어요
1,off to sleep. GOOD NIGHT WORLD  hope it'll not rain tomorrow.,off to sleep. GOOD NIGHT WORLD  hope it'll not rain tomorrow.,off to sleep GOOD NIGHT WORLD hope it ll not rain tomorrow,잠을 자고 좋은 밤 세상 세계 내일 비가 내리지 않기를 바랍니다.
0,"Going to physical therapy and then.. study biology! YAY! I wanted to see @marcoluque today  Próximo stand up eu vou, prometo! ","Going to physical therapy and then.. study biology! YAY! I wanted to see @marcoluque today  Próximo stand up eu vou, prometo! ",Going to physical therapy and then study biology YAY I wanted to see today Próximo stand up eu vou prometo,물리 치료에 가서 생물학을 연구하고 오늘 나는 오늘보고 싶었습니다. próximo는 eu vou prometo
1,@chor_leoni @Fantasy_Art @NxEW Thanks for the follow Friday! ,@chor_leoni @Fantasy_Art @NxEW Thanks for the follow Friday! ,Thanks for the follow Friday,금요일 팔로우 주셔서 감사합니다
0,@musikhoodtheory come cuddle with me! I'm allll alone!  lmao,@musikhoodtheory come cuddle with me! I'm allll alone!  lmao,come cuddle with me I m allll alone lmao,나와 함께 껴안으십시오
1,helloooo everyone ,helloooo everyone ,helloooo everyone,모두
0,Blah! I should be asleep for today's 10 am rehearsal but I don't want too! &gt;.&lt; Hehe I'm not sleepy and I don't want to wake up early! ,Blah! I should be asleep for today's 10 am rehearsal but I don't want too! &gt;.&lt; Hehe I'm not sleepy and I don't want to wake up early! ,Blah I should be asleep for today s 10 am rehearsal but I don t want too gt lt Hehe I m not sleepy and I don t want to wake up early,Blah 오늘 S 러브해야 할 일 오전 10시 리허설은 너무 원하지 않지만 너무 원하지 않아서 졸리지 않아서 일찍 일어나고 싶지 않습니다.
1,"@ddlovato I wish I was a celeb like you, Miley Cyrus, Selena Gomez, Taylor Swift, and all those pretty girls out there! ","@ddlovato I wish I was a celeb like you, Miley Cyrus, Selena Gomez, Taylor Swift, and all those pretty girls out there! ",I wish I was a celeb like you Miley Cyrus Selena Gomez Taylor Swift and all those pretty girls out there,나는 내가 너와 같은 유명인 이었으면 좋겠어 마일리 사이러스 셀레나 고메즈 고메즈 테일러 스위프트와 그 모든 예쁜 여자
0,@ddlovato why arent you at the mtv movie awards? i was looking forward to see you n tv ,@ddlovato why arent you at the mtv movie awards? i was looking forward to see you n tv ,why arent you at the mtv movie awards i was looking forward to see you n tv,왜 MTV Movie Awards에서 당신을 아끼지 않으 셨는지 나는 당신을 만나기를 고대하고 있었다 n TV
0,Drinking break... Alc free Weizen is out...   http://tinyurl.com/mdvqpn,Drinking break... Alc free Weizen is out...   http://tinyurl.com/mdvqpn,Drinking break Alc free Weizen is out,술을 마시는 ALC 무료 Weizen이 나왔습니다
1,@kiniaq and the reasons are never wrong my dear... they are absolutely lovely  wow,@kiniaq and the reasons are never wrong my dear... they are absolutely lovely  wow,and the reasons are never wrong my dear they are absolutely lovely wow,그리고 그 이유는 결코 틀리지 않습니다.
1,"Ok,this lil Tweeter is pooped,I'm going to dream that fairies come and clean my house!!Thanks for Ur time and tweets! Gnight.. ","Ok,this lil Tweeter is pooped,I'm going to dream that fairies come and clean my house!!Thanks for Ur time and tweets! Gnight.. ",Ok this lil Tweeter is pooped I m going to dream that fairies come and clean my house Thanks for Ur time and tweets Gnight,OK이 릴 트위터는 똥을 냈습니다. 요정이 와서 내 집을 청소하는 꿈을 꾸겠습니다.
1,@daveracingkites http://twitpic.com/5ezxy - go to bed. ,@daveracingkites http://twitpic.com/5ezxy - go to bed. ,go to bed,잠자리에 든다
1,working all day... of what a day. at least i have thanksgiving leftovers for lunch ,working all day... of what a day. at least i have thanksgiving leftovers for lunch ,working all day of what a day at least i have thanksgiving leftovers for lunch,하루 종일 하루 종일 일하면서 적어도 나는 추수 감사절 남은 음식이 점심을 먹습니다.
1,@MrRathbone You have many friends here who will walk with you through the dark and the light. Smile ,@MrRathbone You have many friends here who will walk with you through the dark and the light. Smile ,You have many friends here who will walk with you through the dark and the light Smile,당신은 여기에 어둠과 가벼운 미소를 통해 당신과 함께 걸을 친구가 많이 있습니다.
1,@CapnSkulduggery I was just thinking we need some sort of logo. Like... The coriandr rabbit on a train ,@CapnSkulduggery I was just thinking we need some sort of logo. Like... The coriandr rabbit on a train ,I was just thinking we need some sort of logo Like The coriandr rabbit on a train,나는 우리가 기차에 고리 토끼와 같은 일종의 로고가 필요하다고 생각했다.
0,oh my God.. my laptop has a crack  all my fault ,oh my God.. my laptop has a crack  all my fault ,oh my God my laptop has a crack all my fault,오 마이 갓 내 노트북은 균열이있어 내 잘못이있어
1,@officialnjonas you speak my name in chat? please?I am a big fan your...follow me? ,@officialnjonas you speak my name in chat? please?I am a big fan your...follow me? ,you speak my name in chat please I am a big fan your follow me,당신은 채팅에서 내 이름을 말 해주세요. 제발 나는 큰 팬입니다.
1,cleaning + laundry = ,cleaning + laundry = ,cleaning laundry,청소 세탁소
1,Have you asked your mother about my sleeepover thing? ,Have you asked your mother about my sleeepover thing? ,Have you asked your mother about my sleeepover thing,당신은 당신의 어머니에게 나의 sleeepover 일에 대해 물었습니까?
1,"@taylorswift13 that was a very entertaining few minutes spent reading that, i recorded the today show as soon as i heard you were on it ","@taylorswift13 that was a very entertaining few minutes spent reading that, i recorded the today show as soon as i heard you were on it ",that was a very entertaining few minutes spent reading that i recorded the today show as soon as i heard you were on it,그것은 내가 당신이 그것에 있다고 들리는 즉시 오늘 쇼를 녹음 한 것을 읽은 몇 분 동안 매우 재미있는 몇 분이었습니다.
0,@SarahDownSouth Me neither. ,@SarahDownSouth Me neither. ,Me neither,나도
1,"is downloading, downloading, downloading. ","is downloading, downloading, downloading. ",is downloading downloading downloading,다운로드 다운로드를 다운로드하고 있습니다
0,"Oh. Em. Gee. My Dad has been caught smoking! He quit months ago and has suddenly started again. Tut, tut. I'm so disappointed right now. ","Oh. Em. Gee. My Dad has been caught smoking! He quit months ago and has suddenly started again. Tut, tut. I'm so disappointed right now. ",Oh Em Gee My Dad has been caught smoking He quit months ago and has suddenly started again Tut tut I m so disappointed right now,오 엠 gee 우리 아빠는 몇 달 전에 금연을 당했고 갑자기 다시 시작했습니다.
0,UGH la fitness closed at 8pm  i drove there for no reason! grrr,UGH la fitness closed at 8pm  i drove there for no reason! grrr,UGH la fitness closed at 8pm i drove there for no reason grrr,ugh la fitness는 오후 8시에 문을 닫았습니다.
1,@Jessicaveronica I love the song Untouchet ,@Jessicaveronica I love the song Untouchet ,I love the song Untouchet,나는 노래를 손길이 닿는 것을 좋아합니다
1,"BlackBerry troubles all over.. fortunately enough I don't have one! My HTC Touch works fine, for almost 2 years! ","BlackBerry troubles all over.. fortunately enough I don't have one! My HTC Touch works fine, for almost 2 years! ",BlackBerry troubles all over fortunately enough I don t have one My HTC Touch works fine for almost 2 years,다행히도 블랙 베리 문제는 거의 2 년 동안 내 HTC 터치가 잘 작동하지 않습니다.
1,@MeganBull how do you know how much your twitter profile is worth?? haha...or was that a joke? ,@MeganBull how do you know how much your twitter profile is worth?? haha...or was that a joke? ,how do you know how much your twitter profile is worth haha or was that a joke,트위터 프로필이 얼마나 가치가 있는지 또는 농담이 얼마나 가치가 있는지 어떻게 알 수 있습니까?
1,http://mobypicture.com/?yxykxt - I knew it from the start. It's a two year old t-shirt by now. Always makes me pleased to see though. ,http://mobypicture.com/?yxykxt - I knew it from the start. It's a two year old t-shirt by now. Always makes me pleased to see though. ,I knew it from the start It s a two year old t shirt by now Always makes me pleased to see though,나는 처음부터 그것을 알았다.
0,"@Bahamabob Mosquitoes, not yet but they'll arrive soon ","@Bahamabob Mosquitoes, not yet but they'll arrive soon ",Mosquitoes not yet but they ll arrive soon,모기는 아직 아니지만 곧 도착합니다
1,dude where is my car ??? ,dude where is my car ??? ,dude where is my car,야 내 차는 어디에
0,I forgot my homework ,I forgot my homework ,I forgot my homework,나는 숙제를 잊었다
0,@TheHouseofMouse I love these! But I am broke ,@TheHouseofMouse I love these! But I am broke ,I love these But I am broke,나는 이것을 사랑하지만 파산했습니다
1,@Lumiel Aren't you sweet? ,@Lumiel Aren't you sweet? ,Aren t you sweet,당신이 달콤합니다
0,@rhys_isterix I can't get that horrible dream I had last night of Simbacat out of my head!  Its unnerving me! ,@rhys_isterix I can't get that horrible dream I had last night of Simbacat out of my head!  Its unnerving me! ,I can t get that horrible dream I had last night of Simbacat out of my head Its unnerving me,어제 밤에 심판 카트의 내 머리 밖으로 있었던 그 끔찍한 꿈을 얻을 수 없어
1,"Oi @ksymmonds Follow @leespoons - he's funny, nice bloke &amp; a bloody good mashup producer ","Oi @ksymmonds Follow @leespoons - he's funny, nice bloke &amp; a bloody good mashup producer ",Oi Follow he s funny nice bloke amp a bloody good mashup producer,OI 팔로우 그는 재미있는 좋은 녀석 amp 피 묻은 좋은 매시업 프로듀서
0,"Hey Hannah here, training so far has consisted of two gym sessions (need to buy a bike) of 20km in 51 minutes. 40km on day little worried ","Hey Hannah here, training so far has consisted of two gym sessions (need to buy a bike) of 20km in 51 minutes. 40km on day little worried ",Hey Hannah here training so far has consisted of two gym sessions need to buy a bike of 20km in 51 minutes 40km on day little worried,Hey Hannah Here Training 지금까지 훈련은 2 개의 체육관 세션으로 구성되어 있습니다.
0,No dice. The coaches made a big mistake not picking Jacob. ,No dice. The coaches made a big mistake not picking Jacob. ,No dice The coaches made a big mistake not picking Jacob,코치가 야곱을 고르지 않고 큰 실수를하지 않았습니다.
0,URGH so frustrated  tomorrow is the start of school.. so not excited AT ALL :|,URGH so frustrated  tomorrow is the start of school.. so not excited AT ALL :|,URGH so frustrated tomorrow is the start of school so not excited AT ALL,내일 너무 좌절 된 urgh는 학교의 시작이므로 전혀 흥분하지 않습니다.
1,@CLR407 a lil.  thanks. &lt;3,@CLR407 a lil.  thanks. &lt;3,a lil thanks lt 3,릴 감사 LT 3
1,@nickcarbone sounds like your dillo day was epic! Just wait until next year when I'm back ,@nickcarbone sounds like your dillo day was epic! Just wait until next year when I'm back ,sounds like your dillo day was epic Just wait until next year when I m back,당신의 딜로 데이가 서사시였던 것 같네요
1,"@fldhtrsxl 10 is fine by me. The longer I'm out of this house, the better, tbh ","@fldhtrsxl 10 is fine by me. The longer I'm out of this house, the better, tbh ",10 is fine by me The longer I m out of this house the better tbh,10은 괜찮습니다.
0,"I don't like hearing the birds, its an indicator that I should be asleep, but I can't ","I don't like hearing the birds, its an indicator that I should be asleep, but I can't ",I don t like hearing the birds its an indicator that I should be asleep but I can t,나는 새들을 듣는 것을 좋아하지 않아
1,"@edicius during this Stanley Cup match up, yes, I am a Pens fan. ","@edicius during this Stanley Cup match up, yes, I am a Pens fan. ",during this Stanley Cup match up yes I am a Pens fan,이 Stanley Cup Match Up에서 나는 펜스 팬입니다
1,being bored and sitting on the computer ,being bored and sitting on the computer ,being bored and sitting on the computer,지루하고 컴퓨터에 앉아 있습니다
0,damn! it's already sunday ,damn! it's already sunday ,damn it s already sunday,젠장 이미 일요일
1,@Wolfie75 Welcomes home  Glad you had a fabbo time!,@Wolfie75 Welcomes home  Glad you had a fabbo time!,Welcomes home Glad you had a fabbo time,당신이 Fabbo 시간을 가지고 기뻐서 집을 환영합니다
1,Oh - and yes @JeanGWang the audio is royalty free! ,Oh - and yes @JeanGWang the audio is royalty free! ,Oh and yes the audio is royalty free,"아, 그렇습니다. 오디오는 로열티가 없습니다"
0,"@FantasyParade I have more in the house but none with me   I could really go a nap. Or a cup of coffee, either one.","@FantasyParade I have more in the house but none with me   I could really go a nap. Or a cup of coffee, either one.",I have more in the house but none with me I could really go a nap Or a cup of coffee either one,나는 집에 더 많은 것을 가지고 있지만 나와 함께 아무도 낮잠이나 커피 한 잔을 갈 수 없었습니다.
0,my blog is crashing my browser ,my blog is crashing my browser ,my blog is crashing my browser,내 블로그가 내 브라우저에 충돌하고 있습니다
1,@requin I FUCKING AGREE! I hate that shit almost as much as I hate o.O and  and XD,@requin I FUCKING AGREE! I hate that shit almost as much as I hate o.O and  and XD,I FUCKING AGREE I hate that shit almost as much as I hate o O and and XD,나는 내가 O o와 XD를 싫어하는만큼 거의 그 똥을 싫어한다는 데 동의한다.
0,@himynameisemmy you're making me jealous  i don't have mine yett  it better come todayy ughh,@himynameisemmy you're making me jealous  i don't have mine yett  it better come todayy ughh,you re making me jealous i don t have mine yett it better come todayy ughh,당신은 나를 질투하게 만들려고
0,well it's time to go back and study  i hate studying for exams...well wish me luck! gonna tweet on my next break..love ya all! &lt;3,well it's time to go back and study  i hate studying for exams...well wish me luck! gonna tweet on my next break..love ya all! &lt;3,well it s time to go back and study i hate studying for exams well wish me luck gonna tweet on my next break love ya all lt 3,"글쎄, 돌아가서 공부할 때가 나는 시험을 위해 공부하는 것을 싫어합니다."
1,morning tweeple  hope you all have a great monday,morning tweeple  hope you all have a great monday,morning tweeple hope you all have a great monday,Morning Tweeple은 모두 좋은 월요일을 보내길 바랍니다
1,@itslucyliu http://twitpic.com/67iee - Hello girl wanna be friends please. xoxo ,@itslucyliu http://twitpic.com/67iee - Hello girl wanna be friends please. xoxo ,Hello girl wanna be friends please xoxo,안녕하세요 여자 친구가되고 싶어 xoxo
1,"@innocent_eyez26 OMG :o ahahaa. oh well, thats common there  hihii","@innocent_eyez26 OMG :o ahahaa. oh well, thats common there  hihii",OMG o ahahaa oh well thats common there hihii,OMG O AHAHAA OH OH Get Got Go Hihii
0,No Rafa at wimbledon?!?!?! Check it out  http://www.timesonline.co.uk/tol/sport/tennis/article6538282.ece Man oh man.,No Rafa at wimbledon?!?!?! Check it out  http://www.timesonline.co.uk/tol/sport/tennis/article6538282.ece Man oh man.,No Rafa at wimbledon Check it out Man oh man,mble 블던에서 라파 없음 남자 확인 man oh man
0,smmfh . mad at tmobile right now qot ma stoopid web quard up kan`t even add ma twin on twitter ,smmfh . mad at tmobile right now qot ma stoopid web quard up kan`t even add ma twin on twitter ,smmfh mad at tmobile right now qot ma stoopid web quard up kan t even add ma twin on twitter,smmfh 지금 tmobile에 미쳤어
0,Trying to keep hope alive for the cavs ,Trying to keep hope alive for the cavs ,Trying to keep hope alive for the cavs,Cavs에 대한 희망을 살리려고 노력합니다
0,@Emily_lovesyou haha is he really? he is a hottie!!and funny! fjdska;f fly with me videoo!! so im not making dresses anymore for hte show ,@Emily_lovesyou haha is he really? he is a hottie!!and funny! fjdska;f fly with me videoo!! so im not making dresses anymore for hte show ,haha is he really he is a hottie and funny fjdska f fly with me videoo so im not making dresses anymore for hte show,하하는 그는 정말로 그는 매력적이고 재미있는 fjdska f 나와 함께 날아가서 더 이상 드레스를 만들지 않아서 hte show
0,New iPhone firmware rocks. Waiting on mms from AT&amp;T  #AT&amp;Tfail,New iPhone firmware rocks. Waiting on mms from AT&amp;T  #AT&amp;Tfail,New iPhone firmware rocks Waiting on mms from AT amp T AT amp Tfail,새로운 iPhone 펌웨어 암석 AMP TFAIL에서 AMP T에서 MMS를 기다리고 있습니다.
1,#musicmonday King Blues My Bolder ,#musicmonday King Blues My Bolder ,musicmonday King Blues My Bolder,Music Monday King Blues 내 대담한
0,@ZOMB1E awe  I'll talk to him if you want?,@ZOMB1E awe  I'll talk to him if you want?,awe I ll talk to him if you want,당신이 원한다면 그에게 말할 것입니다
1,@gfalcone601 well at least you had a great time and thats what's important! ,@gfalcone601 well at least you had a great time and thats what's important! ,well at least you had a great time and thats what s important,적어도 당신은 즐거운 시간을 보냈고 그게 중요한 것입니다
0,@sleepysongbird yeah they were supposed to but the writers didn't want that in the first season.  GOOD i can only handle 1 girl having him,@sleepysongbird yeah they were supposed to but the writers didn't want that in the first season.  GOOD i can only handle 1 girl having him,yeah they were supposed to but the writers didn t want that in the first season GOOD i can only handle 1 girl having him,그래 그들은해야했지만 작가들은 첫 시즌에 좋은 것을 원하지 않았다.
0,@scottstokes Me too. a TON of js to deal with today...and it's not even pre-written.  I have to write it. ,@scottstokes Me too. a TON of js to deal with today...and it's not even pre-written.  I have to write it. ,Me too a TON of js to deal with today and it s not even pre written I have to write it,나도 오늘 다루기 위해 많은 js 톤이고 사전 작성조차하지 않아서 써야 해
1,"@AlexAllTimeLow its not fair, you mostly reply to jack, only! :] love you though ","@AlexAllTimeLow its not fair, you mostly reply to jack, only! :] love you though ",its not fair you mostly reply to jack only love you though,공평하지 않습니다. 주로 Jack에 대한 답변 만 당신을 사랑합니다.
1,"day 2 of the &quot;fun &amp; friendly&quot; Bohol adventure with Jam, Daph &amp; Kuya Gunns is about to end. best vacation by far.  next year uli? ","day 2 of the &quot;fun &amp; friendly&quot; Bohol adventure with Jam, Daph &amp; Kuya Gunns is about to end. best vacation by far.  next year uli? ",day 2 of the quot fun amp friendly quot Bohol adventure with Jam Daph amp Kuya Gunns is about to end best vacation by far next year uli,Quot fun amp 친화적 인 quot bohol 어드벤처 jam daph amp kuya gunns와 함께 내년까지 최고의 휴가를 끝내려고합니다.
1,Just a little shake  #earthquake - back to editing.   http://yfrog.com/5ehrsj (via @joshcoxrun),Just a little shake  #earthquake - back to editing.   http://yfrog.com/5ehrsj (via @joshcoxrun),Just a little shake earthquake back to editing via,편집으로 돌아가는 지진을 약간 흔들어주십시오
0,"Oh, that's just sad. My Direct Messages thing won't send Demi my message!  Hope it'll work soon... LOL. ","Oh, that's just sad. My Direct Messages thing won't send Demi my message!  Hope it'll work soon... LOL. ",Oh that s just sad My Direct Messages thing won t send Demi my message Hope it ll work soon LOL,"오, 그냥 슬프게 내 직접 메시지가 이겼어 demi 내 메시지를 보내려고"
1,Figuring out how to live a life where I'm my own boss... fun ,Figuring out how to live a life where I'm my own boss... fun ,Figuring out how to live a life where I m my own boss fun,내 자신의 상사가 재미있는 삶을 사는 방법을 알아 내기
1,"@KatieMcCullough Ya didn't fail, me dear! And there ARE good people out there - I know a lot of them! ","@KatieMcCullough Ya didn't fail, me dear! And there ARE good people out there - I know a lot of them! ",Ya didn t fail me dear And there ARE good people out there I know a lot of them,나중에 나에게 실패하지 않았고 좋은 사람들이있다. 나는 그들을 많이 알고있다.
0,OMG i wish i was at Aaron Kwok's concert...... ,OMG i wish i was at Aaron Kwok's concert...... ,OMG i wish i was at Aaron Kwok s concert,OMG 내가 Aaron Kwok의 콘서트에 있었으면 좋겠어
0,Some animal attacked the duck nest.  All the eggs were destroyed.  Sad.,Some animal attacked the duck nest.  All the eggs were destroyed.  Sad.,Some animal attacked the duck nest All the eggs were destroyed Sad,일부 동물은 오리 둥지를 공격했다.
1,eating lunch right about know ,eating lunch right about know ,eating lunch right about know,알고있는 점심을 먹는다
1,@dance2jeffreee I have already watch that video lol ,@dance2jeffreee I have already watch that video lol ,I have already watch that video lol,나는 이미 그 비디오를보고있다
0,@glamourdolleyes We have one - it is out of stock ,@glamourdolleyes We have one - it is out of stock ,We have one it is out of stock,우리에게는 재고가 없습니다
1,cant wait to see Denise and Janet ,cant wait to see Denise and Janet ,cant wait to see Denise and Janet,Denise와 Janet을 만나기를 기다릴 수 없습니다
0,http://twitpic.com/3iw7p  last picture of the countdown before I had to erase it ,http://twitpic.com/3iw7p  last picture of the countdown before I had to erase it ,last picture of the countdown before I had to erase it,지우기 전에 카운트 다운의 마지막 사진
1,"i made 29 updates today, my record xD talk to you tomorrow bye ","i made 29 updates today, my record xD talk to you tomorrow bye ",i made 29 updates today my record xD talk to you tomorrow bye,오늘 29 개의 업데이트를 만들었 어
0,The movie The Knowing made me afraid to be alone in my room  WHY am I five again!?!?! Ahh ,The movie The Knowing made me afraid to be alone in my room  WHY am I five again!?!?! Ahh ,The movie The Knowing made me afraid to be alone in my room WHY am I five again Ahh,영화는 내가 내 방에 혼자있는 것을 두려워하게 만들었다
1,Belanja Kaos itu gampang! www.kaoskita.com T-shirt shopping just a few clicks away. ,Belanja Kaos itu gampang! www.kaoskita.com T-shirt shopping just a few clicks away. ,Belanja Kaos itu gampang T shirt shopping just a few clicks away,Belanja kaos itu gampang t 셔츠 쇼핑 몇 번의 클릭
0,wonders if he is ready to love again...  http://plurk.com/p/syd8e,wonders if he is ready to love again...  http://plurk.com/p/syd8e,wonders if he is ready to love again,그가 다시 사랑할 준비가되었는지 궁금합니다
1,Watching the Jon Ross show ,Watching the Jon Ross show ,Watching the Jon Ross show,존 로스 쇼를보고 있습니다
1,@rach_e &amp; @gobi_one No being locked out taking place today then ,@rach_e &amp; @gobi_one No being locked out taking place today then ,amp No being locked out taking place today then,앰프는 오늘 잠자리에 들지 않습니다
0,ive broken my bloody leg  hit a curb in tenby on holidays and am in total agony.  Watching BGT at the moment.  I really enjoyed Shaheed,ive broken my bloody leg  hit a curb in tenby on holidays and am in total agony.  Watching BGT at the moment.  I really enjoyed Shaheed,ive broken my bloody leg hit a curb in tenby on holidays and am in total agony Watching BGT at the moment I really enjoyed Shaheed,내 피 묻은 다리를 깨뜨린 휴일에 텐비에서 연석을 쳤고 지금은 BGT를보고있는 순간에 완전히 고통스럽고 Shaheed를 즐겼습니다.
0,@DorkierThanU  how do u play?,@DorkierThanU  how do u play?,how do u play,어떻게 플레이합니까?
1,Hi Tweeps  now following @dotastronomy http://dotastronomy.com/ exploring the connection between astronomy and the internet,Hi Tweeps  now following @dotastronomy http://dotastronomy.com/ exploring the connection between astronomy and the internet,Hi Tweeps now following exploring the connection between astronomy and the internet,Hi Tweeps는 이제 천문학과 인터넷 사이의 연결을 탐구했습니다.
1,@MadisonCreek Thanks...yea I've known her since she was like 7...great kid...like another niece to me. ,@MadisonCreek Thanks...yea I've known her since she was like 7...great kid...like another niece to me. ,Thanks yea I ve known her since she was like 7 great kid like another niece to me,감사합니다.
0,work soon ,work soon ,work soon,곧 일합니다
